sector,week_52_low,pc,symbol,bse_price,pb,nse_price,week_52_high,pe,book_value,industry_pe
POWER - GENERATION & DISTRIBUTION,159.80,5.36,TORNTPOWER,179.80,,179.70,252.70,11.77,156.78,12.82
PHARMACEUTICALS,1189.00,14.81,TORNTPHARM,1639.00,,1642.05,1769.50,17.05,200.27,29.05
RETAIL,128.90,-,TRENT,222.55,,222.55,249.80,-,43.27,49.33
CABLES - TELEPHONE,2.50,-,TNTELE,3.00,,2.85,3.50,-,,22.28
PLASTICS,24.75,-,TOKYOPLAST,63.60,,63.60,93.70,-,48.25,49.94
POWER - TRANSMISSION & EQUIPMENT,165.05,-,TRIL,320.30,,320.40,388.25,-,246.47,17.16
TEXTILES - SPINNING - COTTON BLENDED,37.15,4.60,TRIDENT,52.45,,52.40,62.00,-,33.74,12.93
COMPUTERS - SOFTWARE MEDIUM & SMALL,1.15,-,TRICOM,1.49,,1.50,3.45,-,5.68,18.27
ENGINEERING - HEAVY,210.90,-,TRF,279.70,,279.75,468.90,-,-45.37,25.50
ENGINEERING - HEAVY,88.75,-,TRITURBINE,126.50,,125.85,135.70,-,8.87,36.31
COMPUTERS - SOFTWARE MEDIUM & SMALL,38.10,7.63,TRIGYN,100.25,,100.05,140.60,7.74,96.28,18.27
MISCELLANEOUS,351.10,9.45,TUBEINVEST,605.90,,605.90,,10.93,177.41,15.24
TELECOMMUNICATIONS - SERVICE,5.40,-,TTML,5.77,,5.80,9.40,-,-2.86,16.91
DOMESTIC APPLIANCES,3582.00,-,TTKPRESTIG,5405.60,,5420.05,5540.00,-,,49.94
TEXTILES - HOSIERY & KNITWEAR,38.65,-,TTL,46.50,,46.20,60.00,-,,19.25
PHARMACEUTICALS,805.50,-,TTKHLTCARE,1008.00,,992.35,1124.00,-,,29.05
SUGAR,25.20,8.07,TRIVENI,58.40,,58.45,67.95,11.70,25.15,25.72
COMPUTERS - HARDWARE,77.00,-,TVSELECT,99.95,,100.15,160.45,-,27.46,21.37
MEDIA & ENTERTAINMENT,30.75,34.89,TV18BRDCST,46.40,,46.45,48.90,44.62,21.28,41.34
MEDIA & ENTERTAINMENT,229.80,-,TVTODAY,310.00,,309.65,350.00,-,89.15,41.34
TYRES,1946.00,-,TVSSRICHAK,3865.70,,3863.00,4248.00,-,538.25,11.67
INFRASTRUCTURE - GENERAL,84.00,74.39,TWL,116.80,,116.95,166.35,-,59.96,25.50
TRADING,17.70,-,UBHOLDINGS,46.35,,46.50,48.30,-,-95.91,28.61
BREWERIES & DISTILLERIES,690.00,-,UBL,961.55,,962.30,1014.95,-,79.76,42.57
AUTO ANCILLARIES,87.05,-,UCALFUEL,169.15,,169.20,186.00,-,30.19,49.07
BANKS - PUBLIC SECTOR,27.40,-,UCOBANK,37.65,,37.60,55.35,-,,16.46
PACKAGING,132.50,3.74,UFLEX,315.15,,314.85,,7.05,463.04,20.73
SUGAR,8.45,-,UGARSUGAR,45.00,,44.95,73.20,-,,25.72
FINANCE - GENERAL,210.00,-,UJJIVAN,477.90,,478.70,547.50,-,,30.29
MEDIA & ENTERTAINMENT,381.00,-,UFO,466.45,,468.70,623.75,-,,41.34
PHARMACEUTICALS,188.50,-,UNICHEMLAB,286.65,,285.95,334.10,-,105.08,29.05
POWER - TRANSMISSION & EQUIPMENT,15.30,-,UJAAS,23.45,,23.50,31.80,-,,16.24
MISCELLANEOUS,108.00,-,UNIPLY,264.30,,266.70,321.90,-,16.50,31.71
BANKS - PUBLIC SECTOR,104.00,-,UNIONBANK,151.85,,152.20,188.60,-,297.73,16.46
CONSTRUCTION & CONTRACTING - CIVIL,3.45,-,UNITECH,6.09,,6.10,9.05,-,38.46,26.47
CEMENT - MAJOR,2579.00,28.07,ULTRACEMCO,3931.25,,3953.20,4129.70,43.58,767.31,55.34
STEEL - MEDIUM & SMALL,6.70,-,USHAMART,13.00,,13.00,18.45,-,42.60,7.30
STEEL - CR & HR STRIPS,0.40,-,UVSL,0.48,,0.45,0.92,-,,20.82
SUGAR,35.60,-,UPERGANGES,392.70,,393.25,532.00,-,35.31,25.72
STEEL - GP & GC SHEETS,22.50,-,UTTAMSTL,30.70,,30.80,40.70,-,-12.73,13.99
MISCELLANEOUS,234.00,16.22,VAIBHAVGBL,323.00,,316.95,620.00,25.55,112.94,25.22
