sector,week_52_low,pc,symbol,bse_price,pb,nse_price,week_52_high,pe,book_value,industry_pe
CONSTRUCTION & CONTRACTING - CIVIL,10.30,-,GAMMONIND,15.25,,15.20,21.50,-,-10.46,26.62
COURIERS,94.50,14.66,GATI,128.00,,128.10,189.35,29.29,63.44,67.93
TEXTILES - GENERAL,271.20,-,GARWALLROP,500.95,,499.65,539.40,-,167.01,22.25
CONSTRUCTION & CONTRACTING - CIVIL,465.00,-,GAYAPROJ,642.00,,643.00,769.00,-,214.57,26.62
STEEL - TUBES & PIPES,199.20,-,GANDHITUBE,298.95,,299.65,351.85,-,,11.97
ENGINEERING,,-,GEINDSYS,3.41,,3.00,15.10,-,12.35,24.51
CHEMICALS,72.75,-,GEECEE,143.80,,143.85,219.70,-,156.60,39.84
MISCELLANEOUS,205.80,14.67,GDL,256.55,,255.60,362.85,25.45,86.58,23.96
TELECOMMUNICATIONS - EQUIPMENT,1.05,-,GEMINI,1.88,,1.70,5.60,-,-32.06,10.11
FINANCE - GENERAL,28.05,16.37,GEOJITBNPP,36.35,,36.25,45.60,21.90,20.86,29.92
COMPUTERS - SOFTWARE MEDIUM & SMALL,40.55,5.92,GENESYS,66.95,,67.95,98.70,-,5.73,18.34
ELECTRICALS,29.40,-,GENUSPOWER,40.85,,40.25,62.45,-,,22.34
TEXTILES - SPINNING - COTTON BLENDED,13.70,-,GINNIFILA,22.00,,21.55,32.70,-,,13.00
PAPER,3.20,-,GENUSPAPER,3.84,,3.80,6.30,-,,16.34
FINANCE - HOUSING,178.30,-,GICHSGFIN,314.95,,313.65,,-,,28.24
CHEMICALS,95.35,-,GHCL,245.20,,245.85,269.80,-,98.55,16.50
DIAMOND CUTTING & JEWELLERY & PRECIOUS METALS,30.10,3.23,GITANJALI,59.15,,59.20,68.70,3.96,398.11,25.60
PLANTATIONS - TEA & COFFEE,48.90,,GILLANDERS,61.00,,60.10,80.70,,,
COMPUTERS - SOFTWARE,123.40,10.38,GEOMETRIC,231.25,,233.35,251.00,13.27,72.54,18.34
SHIPPING,274.65,2.95,GESHIP,348.95,,350.50,421.00,5.54,549.41,9.42
POWER - TRANSMISSION & EQUIPMENT,545.05,-,GEPIL,552.10,,555.15,703.20,-,138.10,16.94
PHARMACEUTICALS,,-,GLAXO,2804.55,,2807.25,3872.00,-,200.24,29.36
POWER - GENERATION & DISTRIBUTION,71.00,-,GIPCL,86.35,,86.95,98.80,-,130.57,12.97
PERSONAL CARE,3805.35,-,GILLETTE,4320.25,,4335.55,5125.05,-,,52.28
FASTENERS,470.00,-,GKWLIMITED,,,540.45,885.00,-,170.41,21.87
PHARMACEUTICALS,671.10,25.24,GLENMARK,907.75,,905.75,1074.90,34.33,151.34,29.36
BREWERIES & DISTILLERIES,50.60,-,GLOBUSSPR,98.95,,98.80,,-,,41.41
BREWERIES & DISTILLERIES,355.20,-,GMBREW,598.10,,598.55,936.00,-,,41.41
POWER - TRANSMISSION & EQUIPMENT,313.10,-,GET&D,323.95,,322.90,555.95,-,,16.94
PETROCHEMICALS,62.25,-,GOACARBON,100.50,,100.70,121.50,-,79.74,25.06
INFRASTRUCTURE - GENERAL,9.75,73.06,GMRINFRA,12.42,,12.35,18.55,-,13.27,48.32
SHIPPING,116.00,8.20,GLOBOFFS,125.90,,125.90,704.90,-,188.70,9.42
MINING & MINERALS,52.30,-,GMDCLTD,84.75,,84.65,100.50,-,105.96,12.32
CIGARETTES,611.00,-,GODFRYPHLP,1214.65,,1218.55,1662.80,-,274.11,30.45
FERTILISERS,57.10,-,GNFC,172.95,,174.05,,-,,13.84
CONSTRUCTION & CONTRACTING - REAL ESTATE,265.65,31.10,GODREJPROP,337.15,,337.60,385.90,33.22,100.21,26.62
PERSONAL CARE,290.00,23.81,GODREJIND,413.85,,413.35,451.00,30.66,103.59,52.28
CHEMICALS,118.00,-,GOCLCORP,289.60,,293.05,,-,71.26,37.72
PERSONAL CARE,1118.80,42.38,GODREJCP,1577.20,,1577.05,1715.00,46.13,149.67,52.28
EDIBLE OILS & SOLVENT EXTRACTION,9.55,-,GOKUL,13.40,,12.00,25.80,-,21.00,16.91
TEXTILES - READYMADE APPARELS,40.60,-,GOKEX,74.45,,74.35,132.40,-,61.83,36.52
DIAMOND CUTTING & JEWELLERY & PRECIOUS METALS,0.75,0.49,GOENKA,0.86,,0.85,2.40,-,8.71,25.60
